the_geom,OBJECTID,LOCATION,GISPROPNUM,COUNCILDIS,BOROUGH,NAME,POOLTYPE,SHAPE_STAr,SHAPE_STLe
"MULTIPOLYGON (((-73.83937539674365 40.874301336552165, -73.83911625411544 40.87437995658466, -73.83902859795758 40.87421972734897, -73.83929245286377 40.87413932660281, -73.83937539674365 40.874301336552165)))",289,Outdoor,X196,12,X,Haffen Pool,Intermediate,4928.67160034,282.348865117
"MULTIPOLYGON (((-74.13559962698882 40.641325539235545, -74.13509926270784 40.6413113065148, -74.13509605901426 40.64110168915587, -74.13560198029185 40.6411159153363, -74.13559962698882 40.641325539235545)))",290,Outdoor,R008,49,R,Faber Pool,Intermediate,10663.3715363,432.211097846
"MULTIPOLYGON (((-73.86964360932379 40.75890192429893, -73.86956699125868 40.758905404478526, -73.8695624110031 40.75884952290711, -73.86963590136959 40.75884604009178, -73.86964360932379 40.75890192429893)))",291,Outdoor,Q441,21,Q,Fisher Pool,Wading,425.497955322,82.5338741606
"MULTIPOLYGON (((-73.86940888366121 40.75900627741495, -73.86913992610172 40.759026183162156, -73.86911836439499 40.75885971907975, -73.86938888099604 40.758841004718995, -73.86940888366121 40.75900627741495)))",292,Outdoor,Q441,21,Q,Fisher Pool,Intermediate,4556.34114075,271.525696578
"MULTIPOLYGON (((-74.07448838177365 40.637375799981804, -74.0738966746746 40.63742491695485, -74.07386638522622 40.637152324966614, -74.07446008206792 40.63709711664706, -74.07448838177365 40.637375799981804)))",293,Outdoor,R043,49,R,Lyons Pool,Olympic,16673.928009,532.697271208
"MULTIPOLYGON (((-74.00307853835409 40.647059516297524, -74.0025208399319 40.647618177792395, -74.00207006800876 40.64735632072296, -74.00264304889924 40.64679766194795, -74.00307853835409 40.647059516297524)))",294,Outdoor,B087,38,B,Sunset Park Pool,Olympic,39995.2391968,825.254313632
"MULTIPOLYGON (((-74.07407818619858 40.637050149990614, -74.07386029908218 40.63707161174434, -74.0738300385878 40.63682491054399, -74.07404592311154 40.63680192645764, -74.07407818619858 40.637050149990614)))",295,Outdoor,R043,49,R,Lyons Pool,Wading,5497.27754211,302.624257951
"MULTIPOLYGON (((-73.97566986204664 40.72538533681162, -73.97556037398954 40.72553378596089, -73.97532512901219 40.725428278969886, -73.97543096731624 40.72528538000152, -73.97566986204664 40.72538533681162)))",296,Outdoor,M270,2,M,Dry Dock Pool,Intermediate,4604.37976074,273.036294579
"MULTIPOLYGON (((-73.95551277636574 40.815024892848015, -73.95541485083173 40.814982993613334, -73.95544753546426 40.814931843603695, -73.95554342214629 40.814972190468325, -73.95551277636574 40.815024892848015)))",297,Outdoor,M190,7,M,Sheltering Arms Pool,Wading,638.791946411,103.156968803
"MULTIPOLYGON (((-73.93302432784478 40.80199890333163, -73.93294701977241 40.8019626898411, -73.93298872559491 40.80190394031425, -73.93306405139991 40.80193864519058, -73.93302432784478 40.80199890333163)))",298,Outdoor,M273,8,M,Wagner Pool,Wading,603.6847229,98.4063514469
"MULTIPOLYGON (((-73.93334946811149 40.80210307691886, -73.93316312779956 40.80202158912159, -73.93329023554648 40.80183931257152, -73.9334805391024 40.801922308987976, -73.93334946811149 40.80210307691886)))",299,Outdoor,M273,8,M,Wagner Pool,Intermediate,4519.03495789,270.622837038
"MULTIPOLYGON (((-73.97579930374143 40.7255435493184, -73.97573729831348 40.72551439759643, -73.97579204489763 40.72544086544294, -73.97585404672981 40.72547001803548, -73.97579930374143 40.7255435493184)))",300,Outdoor,M270,2,M,Dry Dock Pool,Wading,621.568969727,101.983326787
"MULTIPOLYGON (((-73.90763679640736 40.839155559381226, -73.90744571375772 40.83911211046121, -73.90753987993136 40.8389160827315, -73.90771755429986 40.83895697417364, -73.90763679640736 40.839155559381226)))",301,Outdoor,X008,14,X,Claremont Pool,Intermediate,4039.31344604,258.311635691
"MULTIPOLYGON (((-73.9091915745718 40.672615039095255, -73.90908513839153 40.67262964064507, -73.90907235338429 40.67257561581261, -73.90917878829842 40.67256101427359, -73.9091915745718 40.672615039095255)))",302,Outdoor,B260A,41,B,Howard Pool,Wading,599.995117188,99.9997386042
"MULTIPOLYGON (((-73.90900508285162 40.67275271566303, -73.90873899343507 40.6727892198229, -73.90870063922735 40.67262714340694, -73.90896672683556 40.672590639334146, -73.90900508285162 40.67275271566303)))",303,Outdoor,B260A,41,B,Howard Pool,Intermediate,4499.99629211,269.999925106
"MULTIPOLYGON (((-73.95582714943274 40.81486222095005, -73.95564138376217 40.81495827499598, -73.95549865332038 40.814783023776634, -73.9556782959823 40.81469006891663, -73.95582714943274 40.81486222095005)))",304,Outdoor,M190,7,M,Sheltering Arms Pool,Intermediate,4590.05703735,272.491996056
"MULTIPOLYGON (((-73.78414816132184 40.70181829198828, -73.78407338871072 40.70183233124316, -73.78404559954326 40.70174809900146, -73.78412140214905 40.70173276135343, -73.78414816132184 40.70181829198828)))",305,Outdoor,Q121,27,Q,Liberty Pool,Wading,686.033599854,106.775618734
"MULTIPOLYGON (((-73.78408764500973 40.701631612566096, -73.78381784659886 40.7016826380935, -73.78376554851617 40.70151981505756, -73.78403648885387 40.70146783905097, -73.78408764500973 40.701631612566096)))",306,Outdoor,Q121,27,Q,Liberty Pool,Intermediate,4729.20152283,276.956352769
"MULTIPOLYGON (((-73.95463274927891 40.79617148148364, -73.95492819228703 40.796391113128585, -73.9549281836124 40.79640392543628, -73.9549270510458 40.796417590978315, -73.95492253691246 40.796444921182726, -73.95491915652981 40.79645858584551, -73.95491465103851 40.79647139729479, -73.95491126946793 40.79648506195682, -73.9548943854045 40.79652349048272, -73.95488763327211 40.7965363010516, -73.95487188234162 40.796560210359026, -73.9548640057009 40.796573018685265, -73.95485500571255 40.79658412012387, -73.95484488301078 40.79659607389521, -73.95483588420232 40.796607173531726, -73.95482463638513 40.796618274087116, -73.95481339033032 40.79662851826682, -73.95480214487621 40.79663961792041, -73.95478977489071 40.79664900888378, -73.95477740432118 40.796659254419865, -73.95476503551406 40.79666864448053, -73.95475154101459 40.79667803499845, -73.95472455435164 40.796695106881884, -73.95470993768448 40.79670278870607, -73.95469419769506 40.7967104700869, -73.95467958278842 40.79671729643313, -73.9546481027709 40.79673095093623, -73.95463236393248 40.796736923160516, -73.95461550116819 40.79674204216682, -73.95459976172211 40.79674715981214, -73.9545829001377 40.79675227881414, -73.95456603794895 40.79675654323918, -73.95454805302239 40.796759951744285, -73.95453119141261 40.7967633624907, -73.95451320529689 40.79676677189042, -73.9544963460368 40.79676847348411, -73.95447836168721 40.7967710283048, -73.95446037731928 40.79677187577518, -73.9544423935516 40.796773576916706, -73.95438956788946 40.796773556025876, -73.95437158706108 40.796772694335296, -73.95433562302212 40.79676926359715, -73.95433337401245 40.796769262706164, -73.95432888071863 40.79676755447888, -73.95432775680072 40.79676669855883, -73.95432326232356 40.79676498852984, -73.95432213840576 40.79676413260969, -73.9543210162575 40.796762424817494, -73.9543187690188 40.79676157025311, -73.95431652235456 40.79675815196621, -73.95431652294039 40.79675729829264, -73.95431540079299 40.7967555895999, -73.95431540196532 40.79675388135233, -73.95431427981802 40.79675217265954, -73.95431428333565 40.796747047016375, -73.95431316177375 40.79674448555051, -73.95431203961472 40.796741067709185, -73.9543097935499 40.7967385039966, -73.95430754807064 40.796735087510946, -73.95430305594195 40.79672996008554, -73.95429743872317 40.79672568678816, -73.95428732644451 40.79672055893462, -73.95428283138517 40.79671970257758, -73.9542794608294 40.79671884756694, -73.95427496458538 40.79671799120916, -73.95427159403035 40.79671713529775, -73.95425923041154 40.79671713039218, -73.95423337986475 40.79671882927961, -73.95420866613983 40.79669917416167, -73.9542120484533 40.79668465494669, -73.95421205021543 40.79668209302554, -73.95421317529654 40.796679530650124, -73.9542131811712 40.796670989412235, -73.9542120602035 40.79666757157035, -73.95420869316649 40.79665988356681, -73.95420420104986 40.79665475703801, -73.9542019544042 40.796653047897316, -73.95419970716168 40.79665048418208, -73.95419296723537 40.79664706500772, -73.95418959549941 40.79664620999394, -73.95418622553662 40.796644500406515, -73.95417611151596 40.79664193356378, -73.95416487241377 40.79664192909513, -73.95416150186406 40.79664107318055, -73.95415026745982 40.79663252747203, -73.95414914413323 40.79663081967766, -73.9541480225815 40.79662825550865, -73.95414689925504 40.79662654771426, -73.95414577770285 40.79662398444576, -73.95414353929674 40.79661031757076, -73.95414130030352 40.7965975043692, -73.95413907131447 40.79657017061274, -73.95413909014374 40.79654283865093, -73.95414022228611 40.7965300267905, -73.95414473793194 40.79650269571703, -73.95414811788723 40.79648988565115, -73.95415149961471 40.79647622101151, -73.954154879568 40.79646341004488, -73.95416050851887 40.796450599972495, -73.9541650129677 40.79643779035321, -73.9541717652286 40.7964249807269, -73.95417739298802 40.79641217065318, -73.95418526915498 40.79640021514662, -73.9541920214081 40.7963874055191, -73.95420102206704 40.79637545135884, -73.95420889645268 40.79636435042424, -73.95421789592051 40.79635239626214, -73.95423814148279 40.79633019617541, -73.95424938934855 40.796319096577214, -73.95427188152428 40.79629860742524, -73.9542966215077 40.79627982560729, -73.95431011480565 40.79627043514159, -73.95433710021781 40.796253363353564, -73.95435171741529 40.796244827001985, -73.95436633402262 40.79623714612318, -73.95439556487317 40.796223490806184, -73.95441130538158 40.79621666404013, -73.95442704411747 40.796210690945074, -73.95444390616028 40.79620471919229, -73.95445964549076 40.79619960066734, -73.95447650812896 40.796194482583886, -73.95451023104543 40.79618595465678, -73.95452709369499 40.79618254391362, -73.95454507669876 40.79617998908462, -73.95456193757623 40.79617743381047, -73.95457992294777 40.796174878076485, -73.95459678205478 40.79617317737084, -73.95463274927891 40.79617148148364)))",707,Outdoor,M010,8,M,Lasker,Olympic,34444.9922333,684.906245066
